CD_NOM,CD_REF,NOM_SCIENTIFIQUE,L,T,C,HA,HE,R,N,S,Tx,MO
93167,93167,"Crepis zacintha (L.) Loisel., 1807",8,7,3,4,3,7,2,0,3,2
93297,93297,"Crucianella latifolia L., 1753",8,8,3,3,3,8,3,0,3,2
788868,788868,"Ervilia loiseleurii (M.Bieb.) H.Schaef., Coulot & Rabaute, 2016",8,6,4,4,4,8,3,0,7,1
97116,97116,"Ervum pubescens DC., 1813",8,7,3,3,3,5,3,0,3,3
97221,97221,"Erysimum incanum Kunze, 1846",7,3,3,4,4,7,4,0,3,2
134318,134318,"Erysimum incanum subsp. aurigeranum (Jeanb. & Timb.-Lagr.) O.Bolòs & Vigo, 1990",7,3,3,4,4,7,4,0,3,2
97619,97619,"Euphorbia polygonifolia L., 1753",8,6,2,4,4,6,5,1,4,1
97680,97680,"Euphorbia sulcata Lens ex Loisel., 1828",8,8,4,4,4,8,4,0,3,2
97685,97685,"Euphorbia taurinensis All., 1785",8,8,3,4,4,8,5,0,3,2
611763,611763,"Filago carpetana (Lange) Chrtek & Holub, 1963",8,7,2,4,3,8,2,0,3,2
99541,99541,"Galium setaceum Lam., 1788",8,8,4,4,4,8,3,0,6,1
99581,99581,"Galium verticillatum Danthoine ex Lam., 1788",8,7,4,4,4,8,3,0,6,1
717776,717776,"Holosteum breistrofferi Greuter & Charpin, 1971",7,7,4,4,4,8,5,0,3,2
102921,102921,"Holosteum umbellatum L., 1753",8,6,5,3,3,6,3,0,4,3
103019,103019,"Hornungia petraea (L.) Rchb., 1838",8,6,4,3,3,9,1,0,3,2
103502,103502,"Iberis umbellata L., 1753",4,7,4,4,3,8,3,0,7,1
983577,983577,"Iberodes linifolia (L.) M.Serrano, R.Carbajal & S.Ortiz, 2016",5,8,4,4,4,6,3,0,3,2
983584,983584,"Iberodes littoralis (Lehm.) M.Serrano, R.Carbajal & S.Ortiz, 2016",7,6,2,5,4,6,3,0,4,1
983587,983587,"Iberodes littoralis subsp. littoralis (Lehm.) M.Serrano, R.Carbajal & S.Ortiz, 2016",7,6,2,5,4,6,3,0,4,1
104537,104537,"Knautia integrifolia (L.) Bertol., 1836",8,8,4,4,4,8,4,0,3,2
105406,105406,"Legousia falcata (Ten.) Fritsch, 1907",8,7,4,4,4,7,6,0,3,2
106220,106220,"Linaria simplex (Willd.) DC., 1805",8,7,4,4,4,7,5,0,4,2
106226,106226,"Linaria supina (L.) Chaz., 1790",8,6,5,4,4,8,5,0,6,1
1002564,1002564,"Linaria supina var. maritima (DC.) Duby, 1828",8,6,5,4,4,8,5,0,6,1
148235,148235,"Linaria supina var. supina (L.) Chaz., 1790",8,6,5,4,4,8,5,0,6,1
107313,107313,"Malva setigera K.F.Schimp. & Spenn., 1829",7,6,5,4,4,8,3,0,3,2
107595,107595,"Medicago coronata (L.) Bartal., 1776",8,8,6,4,4,8,3,0,6,2
107605,107605,"Medicago disciformis DC., 1813",8,8,4,4,4,8,3,0,3,2
107635,107635,"Medicago italica (Mill.) Fiori, 1921",8,7,3,4,3,8,5,0,5,1
108606,108606,"Minuartia montana L., 1753",9,9,4,3,3,8,3,0,3,2
137828,137828,"Minuartia montana subsp. montana L., 1753",9,9,4,3,3,8,3,0,3,2
109080,109080,"Myosotis pusilla Loisel., 1809",7,7,3,3,3,8,3,0,4,1
110110,110110,"Onobrychis caput-galli (L.) Lam., 1779",8,8,4,4,4,7,3,0,3,2
112808,112808,"Petrorhagia prolifera (L.) P.W.Ball & Heywood, 1964",8,6,5,3,3,5,2,0,4,1
113485,113485,"Picris pauciflora Willd., 1803",8,8,3,3,3,8,3,0,3,2
114554,114554,"Polygala exilis DC., 1813",8,8,4,5,7,7,5,0,4,1
118877,118877,"Rostraria pubescens (Lam.) Trin., 1820",9,9,1,3,3,5,2,1,4,1
119748,119748,"Sabulina mediterranea (Ledeb. ex Link) Rchb., 1842",8,7,4,3,3,7,3,0,3,2
1000526,1000526,"Sabulina mediterranea subsp. conferta (Jord.) Garraud & J.-M.Tison, 2021",8,7,4,3,3,7,3,0,3,2
1000523,1000523,"Sabulina mediterranea subsp. mediterranea (Ledeb. ex Link) Rchb., 1842",8,7,4,3,3,7,3,0,3,2
1000533,1000533,"Sabulina tenuifolia subsp. laxa (Jord.) Garraud & J.-M.Tison, 2021",7,5,5,3,3,6,3,0,3,2
121201,121201,"Saxifraga tridactylites L., 1753",8,5,5,3,2,7,2,0,4,1
121455,121455,"Scandix stellata Banks & Sol., 1794",8,4,8,2,2,8,3,0,4,1
123507,123507,"Silene inaperta L., 1753",8,8,3,4,4,8,6,0,3,2
124753,124753,"Stachys brachyclada de Noé ex Coss., 1854",8,8,3,4,4,8,3,0,8,1
125976,125976,"Teucrium botrys L., 1753",8,6,5,3,3,8,2,0,3,2
717696,717696,"Vicia amphicarpa L., 1763",8,7,3,4,4,8,3,0,7,1
892235,892235,"Vicia lens subsp. lamottei (Czefr.) H.Schaef., Coulot & Rabaute, 2016",8,7,4,4,4,7,4,0,6,1
129255,129255,"Vicia nigricans (M.Bieb.) Coss. & Germ., 1861",8,7,4,4,4,6,4,0,3,2
129271,129271,"Vicia peregrina L., 1753",8,8,4,3,3,8,3,0,3,2
129299,129299,"Vicia saxatilis (Vent.) Tropea, 1907",8,8,3,4,4,8,4,0,3,2
129600,129600,"Viola kitaibeliana Schult., 1819",8,7,5,3,3,6,3,0,4,1
923516,923516,"Viola kitaibeliana var. kitaibeliana Schult., 1819",8,7,5,3,3,6,3,0,4,1
160280,160280,"Viola kitaibeliana var. trimestris (DC. ex Ging.) Espeut, 2010",8,7,5,3,3,6,3,0,4,1
970955,970955,"Ziziphora acinos (L.) Melnikov, 2016",8,7,4,4,4,7,3,0,3,2
